CounterType,Threads,TicketsPerThread,ExecutionTimeNs,FinalValue
NO_THREAD_SAFE,8,10,1419958,79
SYNCHRONIZED,8,10,407125,80
ATOMIC,8,10,429083,80
NO_THREAD_SAFE,8,100,324917,800
SYNCHRONIZED,8,100,275708,800
ATOMIC,8,100,916500,800
NO_THREAD_SAFE,8,1000,255750,7717
SYNCHRONIZED,8,1000,818541,8000
ATOMIC,8,1000,581750,8000
NO_THREAD_SAFE,8,10000,2154167,22562
SYNCHRONIZED,8,10000,3581500,80000
ATOMIC,8,10000,6608125,80000
NO_THREAD_SAFE,8,1000000,14749250,1280131
SYNCHRONIZED,8,1000000,188659125,8000000
ATOMIC,8,1000000,298447584,8000000
