CounterType,Threads,TicketsPerThread,ExecutionTimeNs,FinalValue
NO_THREAD_SAFE,12,10,473750,120
SYNCHRONIZED,12,10,370958,120
ATOMIC,12,10,386416,120
NO_THREAD_SAFE,12,100,379250,1200
SYNCHRONIZED,12,100,374584,1200
ATOMIC,12,100,385792,1200
NO_THREAD_SAFE,12,1000,394750,12000
SYNCHRONIZED,12,1000,425625,12000
ATOMIC,12,1000,414833,12000
NO_THREAD_SAFE,12,10000,330667,115904
SYNCHRONIZED,12,10000,4565333,120000
ATOMIC,12,10000,6185584,120000
NO_THREAD_SAFE,12,1000000,21609917,1155620
SYNCHRONIZED,12,1000000,358104708,12000000
ATOMIC,12,1000000,648158583,12000000
