CounterType,Threads,TicketsPerThread,ExecutionTimeNs,FinalValue
NO_THREAD_SAFE,12,10,1329875,120
SYNCHRONIZED,12,10,2585625,120
ATOMIC,12,10,1033459,120
NO_THREAD_SAFE,12,100,895458,1200
SYNCHRONIZED,12,100,572375,1200
ATOMIC,12,100,938084,1200
NO_THREAD_SAFE,12,1000,987875,12000
SYNCHRONIZED,12,1000,1002125,12000
ATOMIC,12,1000,1172958,12000
NO_THREAD_SAFE,12,10000,481417,98795
SYNCHRONIZED,12,10000,4880000,120000
ATOMIC,12,10000,3125500,120000
NO_THREAD_SAFE,12,1000000,19685375,4985511
SYNCHRONIZED,12,1000000,470162458,12000000
ATOMIC,12,1000000,387696875,12000000
