CounterType,Threads,TicketsPerThread,ExecutionTimeNs,FinalValue
NO_THREAD_SAFE,12,10,582875,120
SYNCHRONIZED,12,10,590125,120
ATOMIC,12,10,473208,120
NO_THREAD_SAFE,12,100,496000,1200
SYNCHRONIZED,12,100,591834,1200
ATOMIC,12,100,552583,1200
NO_THREAD_SAFE,12,1000,746875,12000
SYNCHRONIZED,12,1000,481958,12000
ATOMIC,12,1000,483250,12000
NO_THREAD_SAFE,12,10000,508292,109973
SYNCHRONIZED,12,10000,4301250,120000
ATOMIC,12,10000,3924958,120000
NO_THREAD_SAFE,12,1000000,58532417,1032321
SYNCHRONIZED,12,1000000,487213875,12000000
ATOMIC,12,1000000,468870417,12000000
