CounterType,Threads,TicketsPerThread,ExecutionTimeNs,FinalValue
NO_THREAD_SAFE,8,10,462917,80
SYNCHRONIZED,8,10,357125,80
ATOMIC,8,10,371084,80
NO_THREAD_SAFE,8,100,311875,800
SYNCHRONIZED,8,100,296334,800
ATOMIC,8,100,272542,800
NO_THREAD_SAFE,8,1000,568334,8000
SYNCHRONIZED,8,1000,325208,8000
ATOMIC,8,1000,285000,8000
NO_THREAD_SAFE,8,10000,363083,76994
SYNCHRONIZED,8,10000,2973667,80000
ATOMIC,8,10000,759833,80000
NO_THREAD_SAFE,8,1000000,9836500,2059497
SYNCHRONIZED,8,1000000,228304292,8000000
ATOMIC,8,1000000,343918417,8000000
